Instrument Id,Instrument Type,Currency,Face Value,Book Value,Instrument Issue Date,Instrument Maturity Date,Next Principal Payment Amount,Next Interest Payment Amount,Rating Agency,Credit Rating,Customer Type,Next Principal Payment Due Date,Next Interest Payment Due Date,Accrued Interest,Included in Capital Tier 2
000000285900023,Chứng chỉ tiền gửi,VND,"500,000,000,000 "," 500,000,000,000 ",9/22/2022,9/21/2023," 500,000,000,000 ",,,,Ngân hàng,9/21/2023,9/21/2023," 826,027,397 ", No 
000000748600033,Chứng chỉ tiền gửi,VND,"500,000,000,000 "," 500,000,000,000 ",4/20/2022,4/14/2023," 500,000,000,000 ",,,,Ngân hàng,4/14/2023,4/14/2023," 9,210,958,904 ", No 
000000748600034,Chứng chỉ tiền gửi,VND,"1,000,000,000,000 "," 1,000,000,000,000 ",9/5/2022,8/30/2023," 1,000,000,000,000 ",,,,Ngân hàng,8/30/2023,8/30/2023," 3,490,410,959 ", No 
000000797800015,Chứng chỉ tiền gửi,VND,"400,000,000,000 "," 400,000,000,000 ",10/13/2021,10/13/2022," 400,000,000,000 ",,,,Ngân hàng,10/13/2022,10/13/2022," 14,313,424,658 ", No 
000000797800016,Chứng chỉ tiền gửi,VND,"300,000,000,000 "," 300,000,000,000 ",7/27/2022,7/21/2023," 300,000,000,000 ",,,,Ngân hàng,7/21/2023,7/21/2023," 2,712,328,767 ", No 
000000797800017,Chứng chỉ tiền gửi,VND,"300,000,000,000 "," 300,000,000,000 ",7/27/2022,7/21/2023," 300,000,000,000 ",,,,Ngân hàng,7/21/2023,7/21/2023," 2,712,328,767 ", No 
000000956500005,Chứng chỉ tiền gửi,VND,"50,000,000,000 "," 50,000,000,000 ",4/4/2022,4/3/2023," 50,000,000,000 ",,,,Ngân hàng,4/3/2023,4/3/2023," 961,643,836 ", No 
000001008400004,Chứng chỉ tiền gửi,VND,"300,000,000,000 "," 300,000,000,000 ",5/24/2022,5/18/2023," 300,000,000,000 ",,,,Ngân hàng,5/18/2023,5/18/2023," 4,487,671,233 ", No 
000008726100006,Chứng chỉ tiền gửi,VND,"1,000,000,000,000 "," 1,000,000,000,000 ",4/25/2022,4/19/2023," 1,000,000,000,000 ",,,,Ngân hàng,4/19/2023,4/19/2023," 18,295,890,411 ", No 
000000748600032,Chứng chỉ tiền gửi,VND,"300,000,000,000 "," 300,000,000,000 ",6/22/2021,6/22/2023," 300,000,000,000 ",,,,Ngân hàng,6/22/2023,6/22/2023," 3,569,589,041 ", No 
100000789600067,Chứng chỉ tiền gửi,VND,"20,000,000 "," 20,000,000 ",2/23/2017,2/23/2024," 20,000,000 ",,,,Khách hàng cá nhân,2/23/2024,2/23/2023," 872,000 ", Yes 
100000985000005,Chứng chỉ tiền gửi,VND,"1,890,000,000 "," 1,890,000,000 ",10/11/2019,10/11/2025," 1,890,000,000 ",,,,Khách hàng cá nhân,10/11/2025,10/11/2022," 130,513,562 ", Yes 
100000985000007,Chứng chỉ tiền gửi,VND,"490,000,000 "," 490,000,000 ",12/26/2019,12/26/2025," 490,000,000 ",,,,Khách hàng cá nhân,12/26/2025,12/26/2022," 26,967,452 ", Yes 
100000985000008,Chứng chỉ tiền gửi,VND,"180,000,000 "," 180,000,000 ",1/7/2020,1/7/2026," 180,000,000 ",,,,Khách hàng cá nhân,1/7/2026,1/7/2023," 9,480,329 ", Yes 