Loan Id,Customer Id,Customer Type,Product Type,Currency,Loan Outstanding,Start Date,Maturity Date,Loan Group,Overdue Flag,Principal Repayment,Next Principle Due Date,Interest Payment,Next Interest Due Date,Risk Weight  as per C41,Accrued Interest,Provision
000MRAPVND1900012,429871,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"45,239,000,000",4/26/2019,4/26/2023,1, No ,"45,239,000,000",4/26/2023, -   ,1/0/1900,0%, -   , -   
000MRAPVND2200016,429871,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"43,400,000,000",6/17/2022,6/17/2024,1, No ,"43,400,000,000",6/17/2024, -   ,1/0/1900,0%, -   , -   
000MRAPVND1800002,430025,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"16,341,000,000",6/18/2018,6/18/2024,1, No ,"16,341,000,000",6/18/2024, -   ,1/0/1900,0%, -   , -   
000MRAPVND1800004,430025,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"22,795,000,000",8/6/2018,8/6/2024,1, No ,"22,795,000,000",8/6/2024, -   ,1/0/1900,0%, -   , -   
000MRAPVND1900005,430025,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"18,180,000,000",1/5/2019,1/5/2023,1, No ,"18,180,000,000",1/5/2023, -   ,1/0/1900,0%, -   , -   
000MRAPVND1900008,430025,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"85,139,000,000",4/23/2019,4/23/2023,1, No ,"85,139,000,000",4/23/2023, -   ,1/0/1900,0%, -   , -   
000MRAPVND2000014,430025,Định chế tài chính,CHO VAY QUY TIN DUNG,VND,"26,730,000,000",8/28/2020,8/28/2024,1, No ,"26,730,000,000",8/28/2024, -   ,1/0/1900,0%, -   , -   
610000020010004C,2001,Khách hàng cá nhân,CHO VAY THE,VND,"192,107,111",9/24/2022,1/23/2023,1, No ,"6,379,415",10/8/2022, -   ,1/0/1900,75%, -   ,"1,440,803"
610000020010004S,2001,Khách hàng cá nhân,CHO VAY THE,VND,"15,455,000",9/24/2022,1/23/2023,1, No ,"513,223",10/8/2022, -   ,1/0/1900,75%, -   ,"115,912"
710000020010006I,2001,Khách hàng cá nhân,CHO VAY THE,VND,"3,780,324",9/14/2022,1/13/2023,1, No ,"125,535",10/8/2022, -   ,1/0/1900,75%, -   ,"28,352"
710000020010006S,2001,Khách hàng cá nhân,CHO VAY THE,VND,"9,048,950",9/14/2022,1/13/2023,1, No ,"300,494",10/8/2022, -   ,1/0/1900,75%, -   ,"67,867"
690400020090001S,2009,Khách hàng cá nhân,CHO VAY THE,VND,"46,305,671",9/24/2022,1/23/2023,1, No ,"1,400,338",1/23/2023, -   ,1/0/1900,75%, -   ,"347,293"
690400020090005S,2009,Khách hàng cá nhân,CHO VAY THE,VND,"1,254,497",9/24/2022,1/23/2023,1, No ,"100,000",1/23/2023, -   ,1/0/1900,75%, -   ,"9,409"
600000020550004S,2055,Khách hàng cá nhân,CHO VAY THE,VND,"45,493,008",9/24/2022,1/23/2023,1, No ,"1,241,500",1/23/2023, -   ,1/0/1900,75%, -   ,"341,198"
391300020690007C,2069,Khách hàng cá nhân,CHO VAY THE,VND,"16,259,806",9/24/2022,1/23/2023,1, No ,"491,986",1/23/2023, -   ,1/0/1900,75%, -   ,"121,949"
600000021070002S,2107,Khách hàng cá nhân,CHO VAY THE,VND,"2,833,322",9/24/2022,1/23/2023,1, No , -   ,1/23/2023, -   ,1/0/1900,75%, -   ,"21,250"
610000055170001C,5517,Khách hàng cá nhân,CHO VAY THE,VND,"13,032,397",9/24/2022,1/23/2023,1, No ,"792,931",10/8/2022, -   ,1/0/1900,100%, -   ,"97,743"
610000055170001S,5517,Khách hàng cá nhân,CHO VAY THE,VND,"24,460,741",9/24/2022,1/23/2023,1, No ,"1,488,266",10/8/2022, -   ,1/0/1900,100%, -   ,"183,456"
710000055170005S,5517,Khách hàng cá nhân,CHO VAY THE,VND,"10,831,269",9/14/2022,1/13/2023,1, No , -   ,1/13/2023, -   ,1/0/1900,100%, -   ,"81,235"
600000060330002S,6033,Khách hàng cá nhân,CHO VAY THE,VND,"4,706,320",9/24/2022,1/23/2023,1, No , -   ,1/23/2023, -   ,1/0/1900,100%, -   ,"35,297"
610001172150006S,117215,Khách hàng cá nhân,CHO VAY THE,VND,"93,746,948",9/24/2022,1/23/2023,1, No ,"6,761,068",1/23/2023, -   ,1/0/1900,70%, -   ,"703,102"
100LTLDVND1900260,649538,Khách hàng cá nhân,AN GIA LAP NGHIEP,VND,"13,500,575,000",12/13/2019,12/13/2039,1, No ,"25,085,000",10/13/2022,"145,362,355",10/13/2022,40%,"87,217,413","113,823,373"
912LTLDVND2000118,943882,Khách hàng cá nhân,AN GIA LAP NGHIEP,VND,"901,145,452",12/22/2020,12/22/2040,1, No ,"97,644,000,000",10/20/2022,"221,178,117,000",10/20/2022,40%,"3,421,884","7,597,559"
912LTLDVND2000115,947208,Khách hàng cá nhân,AN GIA LAP NGHIEP,VND,"899,820,452",12/16/2020,12/16/2040,1, No ,"97,407,000,000",10/20/2022,"220,852,929,300",10/20/2022,40%,"3,416,852","7,586,387"
906LTLDVND2100428,949417,Khách hàng cá nhân,AN GIA LAP NGHIEP,VND,"2,693,404,869",3/23/2021,3/23/2041,1, No ,"287,718,000,000",10/20/2022,"624,345,998,100",10/20/2022,40%,"9,659,362","22,708,102"
690512402430001S,1240243,Khách hàng doanh nghiệp,CHO VAY THE,VND,"46,533,218",9/24/2022,1/23/2023,1, No ,"7,684,224",1/23/2023, -   ,1/0/1900,150%, -   ,"348,999"
690512971800001S,1297180,Khách hàng doanh nghiệp,CHO VAY THE,VND,"5,192,668",9/24/2022,1/23/2023,1, No , -   ,1/23/2023, -   ,1/0/1900,200%, -   ,"38,945"
690513484690001S,1348469,Khách hàng doanh nghiệp,CHO VAY THE,VND,"3,386,306",9/24/2022,1/23/2023,1, No , -   ,1/23/2023, -   ,1/0/1900,200%, -   ,"25,397"
408STLDVND1801833,333335,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"207,000,000",7/26/2018,1/26/2019,5, No , -   ,1/26/2019, -   ,1/0/1900,150%,"3,523,774","243,000,000"
808STLDVND1901416,334673,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"895,000,000",4/10/2019,10/10/2019,5, No , -   ,10/10/2019, -   ,1/0/1900,150%, -   ,"344,998,142"
918STLDVND1800807,356190,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"600,000,000",12/29/2018,12/29/2019,5, No , -   ,12/29/2019, -   ,1/0/1900,150%,"9,000,000", -   
401STLDVND2205685,392112,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"1,000,000,000",3/31/2022,9/30/2022,1, No ,"23,700,000,000,000",9/30/2022,"69,213,622,200",1/0/1900,200%,"2,920,406","8,431,002"
401STLDVND2205788,392112,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"3,000,000,000",4/29/2022,10/29/2022,1, No ,"71,100,000,000,000",10/29/2022,"642,821,925,600",10/20/2022,200%,"9,945,205","25,293,005"
504STLDVND2203006,473642,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"355,627,837",8/19/2022,2/19/2023,1, No ,"8,428,379,736,900",2/19/2023,"69,274,365,300",10/25/2022,150%,"584,594","2,998,299"
402STLDVND2205326,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"6,800,000,000",5/9/2022,2/9/2023,1, No ,"161,160,000,000,000",2/9/2023,"1,390,832,888,400",10/3/2022,150%,"54,772,603","57,330,812"
402STLDVND2205343,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"2,430,000,000",5/11/2022,2/11/2023,1, No ,"57,591,000,000,000",2/11/2023,"497,018,222,100",10/3/2022,150%,"19,573,151","20,487,334"
402STLDVND2205353,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"2,640,000,000",5/16/2022,2/16/2023,1, No ,"62,568,000,000,000",2/16/2023,"539,970,419,400",10/3/2022,150%,"21,264,658","22,257,845"
402STLDVND2205382,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"7,000,000,000",5/24/2022,2/24/2023,1, No ,"165,900,000,000,000",2/24/2023,"1,431,739,728,300",10/3/2022,150%,"56,383,562","59,017,013"
402STLDVND2205472,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"4,520,000,000",7/1/2022,4/1/2023,1, No ,"107,124,000,000,000",4/1/2023,"903,950,469,000",10/3/2022,150%,"35,367,452","38,108,128"
402STLDVND2205551,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"5,500,000,000",7/28/2022,4/28/2023,1, No ,"130,350,000,000,000",4/28/2023,"1,092,797,259,300",10/3/2022,150%,"43,035,616","46,370,510"
402STLDVND2205663,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"1,850,000,000",9/13/2022,6/13/2023,1, No ,"43,845,000,000,000",6/13/2023,"245,051,506,200",10/3/2022,150%,"9,305,753","15,597,353"
702STLDVND2206716,194838,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"299,000,000",9/20/2022,4/20/2023,1, No ,"7,086,300,000,000",4/20/2023,"48,536,296,500",10/15/2022,90%,"901,096","2,520,870"
702STLDVND2206717,194838,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"1,600,000,000",9/20/2022,4/20/2023,1, No ,"37,920,000,000,000",4/20/2023,"259,726,024,800",10/15/2022,90%,"4,821,918","13,489,603"
908MTLDVND2000076,204030,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"3,555,000,000",9/15/2020,9/15/2025,1, No ,"2,340,375,000,000",10/20/2022,"872,543,086,800",10/20/2022,120%,"13,499,260","29,972,211"
908STLDUSD2203456,204030,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,USD,"3,774,936,000",5/9/2022,10/9/2022,1, No ,"3,774,936,000",10/9/2022,"9,042,024",10/9/2022,120%,259,"31,826,492"
908STLDUSD2203459,204030,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,USD,"3,105,648,000",5/10/2022,10/10/2022,1, No ,"3,105,648,000",10/10/2022,"7,445,118",10/10/2022,120%,201,"26,183,724"
903STLDVND2203429,555837,"Khách hàng thuộc lĩnh vực chứng khoán, bảo hiểm, tài chính",BO SUNG VON LUU DONG,VND,"686,718,000",9/23/2022,6/23/2023,1, No ,"16,275,216,600,000",6/23/2023,"133,768,914,600",10/25/2022,150%,"1,128,852","5,789,721"
